id_upz;poblacion_2005;codigo_localidad;nombre_localidad;nombre_upz;area_urbana_2009;poblacion_urbana_2009;densidad_urbana_2009
1.0;2916.0;1.0;USAQUEN;PASEO DE LOS LIBERTADORES;630.952.898.115;3546.0;562.007.086.518
2.0;703.0;11.0;SUBA;LA ACADEMIA;672.073.080.488;920.0;136.889.875.031
3.0;0.0;11.0;SUBA;GUAYMARAL;453.636.704.291;167.0;0.368135996096
9.0;84333.0;1.0;USAQUEN;VERBENAL;355.788.448.029;96310.0;270.694.567.329
10.0;13585.0;1.0;USAQUEN;LA URIBE;3.452.642.542;17055.0;493.969.468.097
11.0;62234.0;1.0;USAQUEN;SAN CRISTOBAL NORTE;275.277.506.205;72680.0;264.024.478.433
12.0;51249.0;1.0;USAQUEN;TOBERIN;290.663.146.859;52018.0;178.963.176.316
13.0;95424.0;1.0;USAQUEN;LOS CEDROS;672.263.207.867;102364.0;152.267.740.971
14.0;34100.0;1.0;USAQUEN;USAQUEN;492.691.983.265;41634.0;8.450.310.014
15.0;87775.0;1.0;USAQUEN;COUNTRY CLUB;285.606.835.551;24678.0;864.054.949.959
16.0;51582.0;1.0;USAQUEN;SANTA BARBARA;458.698.320.974;51474.0;112.217.546.144
17.0;45368.0;11.0;SUBA;SAN JOSE DE BAVARIA;43.827.316.295;47774.0;109.005.077.287
18.0;50139.0;11.0;SUBA;BRITALIA;328.656.231.464;57730.0;175.654.664.276
19.0;86564.0;11.0;SUBA;EL PRADO;433.403.358.117;89013.0;205.381.426.639
20.0;38521.0;11.0;SUBA;LA ALHAMBRA;284.774.117.529;36637.0;128.652.843.587
21.0;45172.0;12.0;BARRIOS UNIDOS;LOS ANDES;274.816.645.782;46625.0;169.658.573.145
22.0;94134.0;12.0;BARRIOS UNIDOS;DOCE DE OCTUBRE;336.255.107.979;98583.0;293.179.189.433
23.0;29874.0;11.0;SUBA;CASA BLANCA SUBA;420.483.819.457;36521.0;868.547.095.276
24.0;66141.0;11.0;SUBA;NIZA;756.595.298.134;65073.0;860.076.716.846
25.0;25414.0;11.0;SUBA;LA FLORESTA;393.477.586.199;25324.0;643.594.473.694
26.0;110921.0;10.0;ENGATIVA;LAS FERIAS;473.343.150.688;110859.0;234.204.297.324
27.0;115172.0;11.0;SUBA;SUBA;652.901.130.738;134709.0;206.323.735.184
28.0;271222.0;11.0;SUBA;EL RINCON;710.088.818.863;302006.0;42.530.735.871
29.0;143506.0;10.0;ENGATIVA;EL MINUTO DE DIOS;373.264.507.687;147709.0;39.572.206.025
30.0;129771.0;10.0;ENGATIVA;BOYACA REAL;453.781.819.192;121920.0;268.675.374.031
31.0;68227.0;10.0;ENGATIVA;SANTA CECILIA;308.579.767.892;65210.0;211.322.992.578
32.0;93880.0;4.0;SAN CRISTOBAL;SAN BLAS;400.032.231.099;95245.0;238.093.314.977
33.0;102994.0;4.0;SAN CRISTOBAL;SOSIEGO;23.491.634.485;46766.0;199.075.121.954
34.0;72001.0;4.0;SAN CRISTOBAL;20 DE JULIO;262.535.666.687;92353.0;351.773.155.874
35.0;33741.0;15.0;ANTONIO NARIÑO;CIUDAD JARDIN;133.239.133.285;30913.0;23.201.141.615
36.0;50085.0;18.0;RAFAEL URIBE URIBE;SAN JOSE;207.947.107.119;49050.0;235.877.289.564
37.0;43861.0;14.0;LOS MARTIRES;SANTA ISABEL;200.462.673.252;45086.0;224.909.701.485
38.0;83087.0;15.0;ANTONIO NARIÑO;RESTREPO;354.715.513.318;77022.0;217.137.387.873
39.0;94032.0;18.0;RAFAEL URIBE URIBE;QUIROGA;384.046.822.311;87121.0;226.849.943.649
40.0;101616.0;16.0;PUENTE ARANDA;CIUDAD MONTES;445.578.698.505;105662.0;237.134.316.238
41.0;58178.0;16.0;PUENTE ARANDA;MUZU;252.822.051.232;57052.0;225.660.695.821
42.0;136190.0;6.0;TUNJUELITO;VENECIA;659.377.024.137;144420.0;219.024.920.058
43.0;76734.0;16.0;PUENTE ARANDA;SAN RAFAEL;329.312.713.782;76749.0;23.305.811.403
44.0;84178.0;8.0;KENNEDY;AMERICAS;380.969.402.333;84584.0;222.023.079.759
45.0;105369.0;8.0;KENNEDY;CARVAJAL;438.593.005.327;96337.0;219.650.105.747
46.0;110582.0;8.0;KENNEDY;CASTILLA;503.545.836.025;125411.0;2.490.557.781
47.0;108199.0;8.0;KENNEDY;KENNEDY CENTRAL;337.213.395.794;96282.0;285.522.465.006
48.0;145608.0;8.0;KENNEDY;TIMIZA;430.438.314.853;147298.0;342.204.666.539
49.0;41397.0;7.0;BOSA;APOGEO;210.583.733.352;38125.0;181.044.373.149
50.0;15373.0;4.0;SAN CRISTOBAL;LA GLORIA;38.585.775.934;102299.0;265.121.012.922
51.0;29305.0;4.0;SAN CRISTOBAL;LOS LIBERTADORES;364.939.485.846;73429.0;2.012.087.013
52.0;15373.0;5.0;USME;LA FLORA;187.716.025.612;18507.0;9.859.041.038
53.0;68560.0;18.0;RAFAEL URIBE URIBE;MARCO FIDEL SUAREZ;184.536.569.132;65877.0;35.698.615.353
54.0;89511.0;18.0;RAFAEL URIBE URIBE;MARRUECOS;362.888.498.604;96465.0;265.825.454.295
55.0;75972.0;18.0;RAFAEL URIBE URIBE;DIANA TURBAY;211.433.160.976;79191.0;374.543.896.683
56.0;29305.0;5.0;USME;DANUBIO;288.740.865.613;36193.0;125.347.688.223
57.0;126484.0;5.0;USME;GRAN YOMASA;535.798.612.383;138142.0;257.824.482.571
58.0;77969.0;5.0;USME;COMUNEROS;493.035.619.032;86795.0;176.042.047.774
