"Nombre","Cámara de Comercio","Número de Matrícula","Fecha de Matrícula","Estado de la matrícula","Fecha de renovación","Último año renovado","latitud","longitud","direccion"
"OXXO LA DOCTORA","ABURRA SUR","280619","2025/02/03","ACTIVA","2025/02/03","2025","","",""
"OXXO ZABAN","ABURRA SUR","276550","2024/08/29","ACTIVA","2025/03/27","2025","","",""
"OXXO S48 TOWER","ABURRA SUR","276021","2024/08/12","ACTIVA","2025/03/27","2025","6.162716","-75.6016787","Cl 49 Sur #45A - 300, Zona 8, Envigado, Antioquia, Colombia"
"OXXO AVES MARIA","ABURRA SUR","275672","2024/07/30","ACTIVA","2025/03/27","2025","6.147398099999999","-75.6129571","Cl 71Sur #39-78, Sabaneta, Antioquia, Colombia"
"OXXO EDS OTRAPARTE","ABURRA SUR","276691","2024/09/02","ACTIVA","2025/03/27","2025","","",""
"OXXO ESMERALDAL","ABURRA SUR","273203","2024/05/09","ACTIVA","2025/03/27","2025","6.1730065","-75.5687435","Cl. 27 Sur #2754, Montiel II, Envigado, Antioquia, Colombia"
"OXXO SANTA MARIA NO 1","ABURRA SUR","274076","2024/06/11","CANCELADA","2024/06/11","2024","","",""
"OXXO TERRAZINO SUR","ABURRA SUR","278921","2024/11/14","ACTIVA","2025/03/27","2025","6.1602228","-75.6017062","Cra. 43A #49D Sur-68 Local 3, Zona 7, Envigado, Antioquia, Colombia"
"OXXO SABANETA CARMELO","ABURRA SUR","274075","2024/06/11","ACTIVA","2025/03/27","2025","6.1520623","-75.61179899999999","Cra. 43A #65 sur 146, Alto Las Flores, Medellín, Sabaneta, Antioquia, Colombia"
"OXXO NUEVA CALLE","ABURRA SUR","278955","2024/11/15","ACTIVA","2025/03/27","2025","","",""
"OXXO PARQUE FUNDADORES","ARMENIA","274718","2023/10/26","ACTIVA","2025/03/27","2025","","",""
"OXXO LA FOGATA","ARMENIA","274717","2023/10/26","ACTIVA","2025/03/27","2025","","",""
"OXXO PROFESIONALES","ARMENIA","272033","2023/06/26","CANCELADA","2024/03/22","2024","","",""
"OXXO BOLIVAR","ARMENIA","271343","2023/05/26","ACTIVA","2025/03/27","2025","","",""
"OXXO PRIVILEGIO","ARMENIA","279772","2024/05/15","CANCELADA","2024/05/15","2024","","",""
"OXXO CARRERA 14","ARMENIA","273771","2023/09/11","ACTIVA","2025/03/27","2025","4.5463339","-75.6623456","Cl. 2 Nte. #14 - 8, Armenia, Quindío, Colombia"
"OXXO ESQUINA LAURELES","ARMENIA","280334","2024/06/04","ACTIVA","2025/03/27","2025","4.560110799999999","-75.6556648","Cl. 22 Nte. #15 - 7, Armenia, Quindío, Colombia"
"OXXO VERANERA","ARMENIA","284617","2024/12/26","ACTIVA","2025/03/27","2025","4.5314228","-75.6945202","Cl. 30 #15, Armenia, Quindío, Colombia"
"OXXO LOS ARCES","ARMENIA","274184","2023/09/29","ACTIVA","2025/03/27","2025","","",""
"OXXO ALTAVISTA","ARMENIA","277079","2024/02/19","ACTIVA","2025/03/27","2025","4.5326872","-75.6720086","Cra. 12 #18-30, Armenia, Quindío, Colombia"
"OXXO PORTAL QUINDIO","ARMENIA","280591","2024/06/14","ACTIVA","2025/03/27","2025","4.5574353","-75.65616360000001","Cra. 14 #18n69, Armenia, Quindío, Colombia"
"OXXO MALL ZONA ORO","ARMENIA","275862","2024/01/11","ACTIVA","2025/03/27","2025","4.575275299999999","-75.6447854","Armenia, Quindío, Colombia"
"OXXO BANCA","ARMENIA","279346","2024/04/29","ACTIVA","2025/03/27","2025","","",""
"OXXO AQUAZUL","ARMENIA","282876","2024/09/11","ACTIVA","2025/03/27","2025","4.5616832","-75.6578552","Cra. 19 #24 NORTE 09, Armenia, Quindío, Colombia"
"OXXO EDS GALAN","ARMENIA","280335","2024/06/04","ACTIVA","2025/03/27","2025","4.5428551","-75.66704469999999","Cra. 19 #3-81, Armenia, Quindío, Colombia"
"OXXO FORESTA NORTE","ARMENIA","276973","2024/02/14","ACTIVA","2025/03/27","2025","4.5684406","-75.6507244","Cra. 19 #35 Norte-859 a 35 Norte-625, Armenia, Quindío, Colombia"
"OXXO CENTENARIO MALL","ARMENIA","275217","2023/11/27","ACTIVA","2025/03/27","2025","4.5359546","-75.66337349999999","Cra. 6 #7 - 05, Armenia, Quindío, Colombia"
"OXXO LA 50","BARRANCABERMEJA","139566","2024/04/01","ACTIVA","2025/03/27","2025","7.0602996","-73.85428910000002","Cl. 50 #24-12, Barrancabermeja, Santander, Colombia"
"OXXO LA VIDA","BARRANCABERMEJA","139877","2024/04/18","ACTIVA","2025/04/02","2025","","",""
"OXXO VIA FERROCARRIL","BARRANCABERMEJA","139433","2024/03/20","ACTIVA","2025/03/27","2025","","",""
"OXXO MEDICAL TOWER","BARRANQUILLA","905533","2024/12/26","ACTIVA","2025/03/27","2025","","",""
"OXXO TORRE ATLANTICA","BARRANQUILLA","887179","2024/03/06","ACTIVA","2025/03/27","2025","11.0053572","-74.8102248","Cra. 53 #80 - 198, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO SERVICAMPESTRE","BARRANQUILLA","883798","2024/01/16","ACTIVA","2025/03/27","2025","11.0161619","-74.8467695","2583+85, Sabanilla Montecarmelo, Barranquilla, Atlántico, Colombia"
"OXXO METROPOLIS","BARRANQUILLA","885544","2024/02/13","ACTIVA","2025/03/27","2025","10.9982275","-74.819906","Av. 20 de Julio #82 209, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO DELICIAS 43","BARRANQUILLA","895930","2024/07/16","ACTIVA","2025/03/27","2025","10.9982275","-74.819906","Av. 20 de Julio #82 209, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO EDS EL PARQUE","BARRANQUILLA","893431","2024/06/06","ACTIVA","2025/03/27","2025","","",""
"OXXO PLAZA DE LA PAZ","BARRANQUILLA","904966","2024/12/10","ACTIVA","2025/03/27","2025","10.9872411","-74.7899146","Cl. 53 #45, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO SURISALCEDO","BARRANQUILLA","903525","2024/11/14","ACTIVA","2025/03/27","2025","10.9941863","-74.8029957","Cl. 70 #47-23, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO FRUTERA","BARRANQUILLA","890236","2024/04/17","ACTIVA","2025/03/27","2025","","",""
"OXXO REGISTRADURIA 58","BARRANQUILLA","904216","2024/11/26","ACTIVA","2025/03/27","2025","","",""
"OXXO LA CONCEPCION","BARRANQUILLA","891825","2024/05/09","ACTIVA","2025/03/27","2025","","",""
"OXXO PLATINUM 47","BARRANQUILLA","893485","2024/06/06","ACTIVA","2025/03/27","2025","","",""
"OXXO BATALLON PARAISO","BARRANQUILLA","903879","2024/11/20","ACTIVA","2025/03/27","2025","11.0138046","-74.8057822","Cl. 80 #68-08, Riomar, Barranquilla, Atlántico, Colombia"
"OXXO EDS PARAISO","BARRANQUILLA","893453","2024/06/06","ACTIVA","2025/03/27","2025","10.9835238","-74.7871522","Cl. 47 #43-48, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO BARCELONA PLAZA","BARRANQUILLA","893434","2024/06/06","ACTIVA","2025/03/27","2025","10.9982275","-74.819906","Av. 20 de Julio #82 209, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO ALTOS DE RIOMAR","BARRANQUILLA","888577","2024/03/26","ACTIVA","2025/03/27","2025","11.020305","-74.8214982","Cl. 98 #65 Esquina Local 3, Riomar, Barranquilla, Atlántico, Colombia"
"OXXO EDS VIA AL MAR","BARRANQUILLA","895914","2024/07/16","ACTIVA","2025/03/27","2025","","",""
"OXXO LUXURY BUENAVISTA","BARRANQUILLA","890181","2024/04/16","ACTIVA","2025/03/27","2025","","",""
"OXXO RIO ALTO","BARRANQUILLA","898995","2024/09/03","ACTIVA","2025/03/27","2025","11.020305","-74.8214982","Cl. 98 #65 Esquina Local 3, Riomar, Barranquilla, Atlántico, Colombia"
"OXXO EDS EL LIMON","BARRANQUILLA","886783","2024/02/28","ACTIVA","2025/03/27","2025","","",""
"OXXO LA 21","BARRANQUILLA","891819","2024/05/08","ACTIVA","2025/03/27","2025","10.9687072","-74.8048463","Cra 21B #63-50, Suroccidente, Barranquilla, Atlántico, Colombia"
"OXXO GARTEN PARK 93","BARRANQUILLA","904327","2024/11/28","ACTIVA","2025/03/27","2025","","",""
"OXXO PRADOMAR","BARRANQUILLA","902251","2024/10/24","ACTIVA","2025/03/27","2025","","",""
"OXXO AMERICANO","BARRANQUILLA","900135","2024/09/20","ACTIVA","2025/03/27","2025","10.9864443","-74.8150522","Cra. 38 #74-284, Las Mercedes, Barranquilla, Atlántico, Colombia"
"OXXO DISTRITO 90","BARRANQUILLA","883776","2024/01/18","ACTIVA","2025/03/27","2025","11.0034585","-74.8247762","Cra. 46 #90-17, Barranquilla, Atlántico, Colombia"
"OXXO NAXOS","BARRANQUILLA","903271","2024/11/08","ACTIVA","2025/03/27","2025","","",""
"OXXO ROMELIO 74","BARRANQUILLA","903292","2024/11/08","ACTIVA","2025/03/27","2025","10.9982275","-74.819906","Av. 20 de Julio #82 209, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
"OXXO ALTO PRADO 49C","BARRANQUILLA","902249","2024/10/24","ACTIVA","2025/03/27","2025","11.0005754","-74.8082884","Cra. 50 #76-10, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
