Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
SUPERMERCADO JUSTO Y BUENO MEDELLIN SANTA LUCIA,MEDELLIN PARA ANTIOQUIA,69261202,2019/10/22,ACTIVA,2021/03/31,2021,6.249306499999999,-75.6048193,"Cra. 84 # 32 B - 21 42 C 78, Simón Bolívar, Medellín, La América, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO CAMPO HERMOSO,BUCARAMANGA,9000359891,2016/10/26,ACTIVA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO PALONEGRO,BUCARAMANGA,9000476793,2020/11/24,ACTIVA,2021/03/17,2021,6.698432299999999,-73.5124313,"Cl. 3 #4-58, El Carmen de Chucurí, Santander, Colombia"
JUSTO Y BUENO MINIMERCADO BARRANQUILLA SAN REMO,BARRANQUILLA,782894,2021/02/22,ACTIVA,2021/02/22,2021,,,
SUPERMERCADO JUSTO Y BUENO MEDELLIN LA MILAGROSA 47,MEDELLIN PARA ANTIOQUIA,70172902,2020/04/20,ACTIVA,2021/03/31,2021,6.2511415,-75.5648578,"edificio Vicente villa, Cra. 47 #53- 45 local 116, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
JUSTO Y BUENO SOLEDAD NORMANDIA,BARRANQUILLA,761312,2020/06/11,ACTIVA,2021/03/31,2021,,,
MINIMERCADO JUSTO Y BUENO LEON XIII,BOGOTA,2655267,2016/02/17,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN SAN ANTONIO DE PRADO EL VERGEL,MEDELLIN PARA ANTIOQUIA,72238102,2021/04/27,ACTIVA,2021/04/27,2021,,,
MINIMERCADO JUSTO Y BUENO EL SANTUARIO,ORIENTE ANTIOQUENO,114849,2018/08/28,CANCELADA,2020/03/03,2020,,,
MINIMERCADO JUSTO Y BUENO MEDELLIN CALASANZ,MEDELLIN PARA ANTIOQUIA,64947402,2018/01/16,ACTIVA,2021/03/31,2021,6.2608862,-75.59767649999999,"Cl. 49 #80 - 29, Calasanz, Medellín, La América, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO LA MESA,GIRARDOT,82456,2017/01/17,ACTIVA,2021/02/23,2021,4.4847157,-73.8954502,"Cra. 2 #3 - 68, Fómeque, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO LA MILAGROSA,CUCUTA,357138,2019/09/03,ACTIVA,2021/03/31,2021,,,
JUSTO Y BUENO SANTA MARTA BONDA,SANTA MARTA PARA EL MAGDALENA,231880,2020/08/18,ACTIVA,2021/03/30,2021,11.2351238,-74.12499729999999,"Cl. 5 # 19-62, Santa Marta, Bonda, Santa Marta, Magdalena, Colombia"
SUPERMERCADO JUSTO Y BUENO - PASTO - EDS JUANAMBO,PASTO,195508,2019/12/02,CANCELADA,2021/03/11,2021,1.212366,-77.2717679,"Cra. 20 Sur # 24 - 36, Pasto, Nariño, Colombia"
SUPERMERCADOS JUSTO Y BUENO PASTO EL BOSQUE,PASTO,193286,2019/08/26,CANCELADA,2021/03/11,2021,,,
SUPERMERCADOS JUSTO Y BUENO PASTO-HOSPITAL CIVIL,PASTO,204760,2020/11/20,CANCELADA,2021/03/24,2021,,,
SUPERMERCADOS JUSTO Y BUENO PASTO-LAS CUADRAS,PASTO,201399,2020/08/10,CANCELADA,2021/03/24,2021,,,
SUPERMERCADOS JUSTO Y BUENO PASTO-PARQUE BOLIVAR,PASTO,200039,2020/06/19,CANCELADA,2021/03/17,2021,1.2160591,-77.2791014,"Cra. 26 #18 - 01, Pasto, Nariño, Colombia"
TIENDA JUSTO Y BUENO EL POBLADO PEREIRA,PEREIRA,18165705,2019/07/04,ACTIVA,2021/03/26,2021,,,
SUPERMERCADO JUSTO Y BUENO PUERTO RICO CAQUETA,FLORENCIA PARA EL CAQUETA,115000,2020/06/26,ACTIVA,2021/01/22,2021,1.9098806,-75.1535694,"Cl. 5 # 5 - 74, Puerto Rico, Caquetá, Colombia"
MINIMERCADO JUSTO Y BUENO CALI - LA MERCED,CALI,1122069,2021/07/12,CANCELADA,2021/07/12,2021,3.4794455,-76.51977699999999,"Cl. 44 Nte. #3d-41, Cali, Valle del Cauca, Colombia"
SUPERMERCADO JUSTO Y BUENO CALI-ANTONIO NARIÑO,CALI,1103088,2020/12/09,CANCELADA,2021/02/15,2021,,,
SUPERMERCADOS JUSTO Y BUENO CALI - BUENOS AIRES,CALI,1069830,2019/11/18,CANCELADA,2021/02/15,2021,,,
SUPERMERCADOS JUSTO Y BUENO CALI - SALOMIA,CALI,1069825,2019/11/15,CANCELADA,2021/02/15,2021,,,
MINIMERCADO JUSTO Y BUENO CAMPO SERRANO,AGUACHICA,50354,2019/02/18,ACTIVA,2021/02/23,2021,,,
JUSTO Y BUENO ORTEGA,SUR Y ORIENTE DEL TOLIMA,91260,2017/09/13,ACTIVA,2021/02/11,2021,3.934739,-75.2213409,"Cl. 5 #10-26, Ortega, Tolima, Colombia"
MINIMERCADO JUSTO Y BUENO SOGAMOSO CORTEZ,SOGAMOSO,74543,2018/04/18,CANCELADA,2021/03/08,2021,5.715880400000001,-72.9437717,"Cl. 5 #2-65, Sogamoso, Boyacá, Colombia"
MINIMERCADO JUSTO Y BUENO SOGAMOSO NOGAL,SOGAMOSO,73008,2017/11/14,ACTIVA,2021/03/08,2021,,,
MINIMERCADO JUSTO Y BUENO SAN ALBERTO,AGUACHICA,41709,2016/06/08,ACTIVA,2021/02/18,2021,7.760980199999999,-73.3901527,"Cl. 5 #2-66, San Alberto, Cesar, Colombia"
MINIMERCADO JUSTO Y BUENO AGUACHICA CALLE 5,AGUACHICA,43117,2016/12/06,ACTIVA,2021/02/18,2021,8.3095363,-73.6141693,"Cl. 5 #20-22, Aguachica, Cesar, Colombia"
MINIMERCADO JUSTO Y BUENO PUERTO WILCHES,BARRANCABERMEJA,104062,2016/05/31,ACTIVA,2021/03/12,2021,7.347380299999998,-73.9023045,"Cl. 5 #3-45, Puerto Wilches, Santander, Colombia"
MINIMERCADO JUSTO Y BUENO SILVANIA,BOGOTA,2910206,2018/01/26,ACTIVA,2021/03/19,2021,4.4019175,-74.3859542,"Cl. 5 #5-20, Silvania, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO RIVERA,HUILA,319832,2018/11/07,ACTIVA,2021/03/19,2021,2.7789467,-75.2567807,"Cl. 5 #6-24, Rivera, Huila, Colombia"
MINIMERCADO JUSTO Y BUENO CARMEN DE APICALA,SUR Y ORIENTE DEL TOLIMA,92644,2018/01/30,ACTIVA,2021/02/11,2021,4.147065899999999,-74.720766,"Cl. 5 #8-40, Carmen de Apicalá, Tolima, Colombia"
MINIMERCADO JUSTO Y BUENO EL CARMEN,BOGOTA,2758670,2016/11/30,ACTIVA,2021/03/19,2021,,,
SUPERMERCADO JUSTO Y BUENO EL CARMEN,IBAGUE,273008,2016/11/16,ACTIVA,2021/03/23,2021,4.147065899999999,-74.720766,"Cl. 5 #8-40, Carmen de Apicalá, Tolima, Colombia"
MINI MERCADO JUSTO Y BUENO BARRANCA LA 60,BARRANCABERMEJA,105804,2016/11/01,ACTIVA,2021/03/12,2021,7.071110200000001,-73.8304421,"Dg. 60 #45-228 #45-2 a, Barrancabermeja, Santander, Colombia"
MINIMERCADO JUSTO Y BUENO ITAGUI PARQUE,ABURRA SUR,214909,2018/11/06,ACTIVA,2021/03/25,2021,6.1520684,-75.61139829999999,"Cra. 43A #65 Sur-88, Alto Las Flores, Sabaneta, Antioquia, Colombia"
SUPERMERCADOS JUSTO Y BUENO - CALI VILLA COLOMBIA -,CALI,1061979,2019/08/26,CANCELADA,2021/02/15,2021,4.662495,-74.1320968,"Av Ciudad de Cali #19A-50, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO BOSA AMISTAD,BOGOTA,2765346,2017/01/10,ACTIVA,2021/03/19,2021,4.600022399999999,-74.19412419999999,"Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO BOSA CENTRO,BOGOTA,2694500,2016/06/03,ACTIVA,2021/03/19,2021,4.5816385,-74.1340626,"Dg. 51a Sur # 27 - 59, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO BOSA CENTRO IPS,BOGOTA,2715655,2016/07/29,ACTIVA,2021/03/19,2021,4.6060661,-74.185695,"Cl. 65d Sur #79C-26, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO CAZUCA,BOGOTA,2799599,2017/03/30,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO SOACHA COMPARTIR,BOGOTA,2738915,2016/09/29,ACTIVA,2021/03/19,2021,4.5694189,-74.23850329999999,"Cl. 7 Sur #36, Soacha, Cundinamarca, Colombia"
MINIMERCADO JUSTO Y BUENO SOACHA DESPENSA,BOGOTA,2715647,2016/07/29,ACTIVA,2021/03/19,2021,4.5795628,-74.2165745,"Cl 15 #3C-09, Soacha, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO BOSA 1,BOGOTA,2823308,2017/05/31,ACTIVA,2021/03/19,2021,4.7449615,-74.02271540000001,"Cl. 167d #7-26, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO BOSA SAN BERNARDINO,BOGOTA,3307294,2020/11/09,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO SOACHA CHICO SUR,BOGOTA,3263195,2020/07/21,ACTIVA,2021/03/19,2021,4.5795628,-74.2165745,"Cl 15 #3C-09, Soacha, Cundinamarca, Colombia"
MINIMERCADO JUSTO Y BUENO GALERIAS,BOGOTA,2676615,2016/04/15,ACTIVA,2021/03/19,2021,4.641977,-74.0746415,"Cl. 53b #25-21, Teusaquillo, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN PARQUE BOSTON,MEDELLIN PARA ANTIOQUIA,65574202,2018/04/03,ACTIVA,2021/03/31,2021,6.248070999999999,-75.55762279999999,"Cra. 38 #54 - 97, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN AVENIDA COLOMBIA,MEDELLIN PARA ANTIOQUIA,63744502,2017/06/20,ACTIVA,2021/03/31,2021,6.2622354,-75.59512509999999,"Cra. 78A #49B-7, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN LA LORENA ESTACION DE POLICIA,MEDELLIN PARA ANTIOQUIA,67567902,2019/02/14,CANCELADA,2020/03/30,2020,,,
MINIMERCARDO JUSTO Y BUENO MEDELLIN MARACAIBO,MEDELLIN PARA ANTIOQUIA,64504802,2017/10/12,CANCELADA,2020/03/30,2020,,,
SUPERMERCADO JUSTO Y BUENO MEDELLIN SANTA CRUZ,MEDELLIN PARA ANTIOQUIA,71459802,2021/01/08,ACTIVA,2021/01/08,2021,6.2541414,-75.5674176,"Cl. 54 #51 - 07, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO GALERIAS 56,BOGOTA,3045158,2018/12/12,ACTIVA,2021/03/19,2021,4.662495,-74.1320968,"Av Ciudad de Cali #19A-50, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO BOSA PORVENIR,BOGOTA,3175915,2019/10/04,ACTIVA,2021/03/19,2021,4.6425329,-74.1955886,"Cl. 56f Sur # 104 - 09, Bogotá, Colombia"
SUPERMERCADO JUSTO Y BUENO BELLO PLAYA RICA,MEDELLIN PARA ANTIOQUIA,71372402,2020/12/14,ACTIVA,2021/03/31,2021,6.3411345,-75.56684659999999,"Cl. 57A # 62 - 17, Playa Rica, Bello, Antioquia, Colombia"
JUSTO Y BUENO SOLEDAD LAS TRINITARIAS,BARRANQUILLA,751331,2019/12/04,ACTIVA,2021/03/31,2021,10.9089448,-74.7823408,"Cra. 14 # 44 - 63, Soledad, Atlántico, Colombia"
SUPERMERCADOS JUSTO Y BUENO - SANDONA NARIÑO,PASTO,194666,2019/10/21,CANCELADA,2021/03/17,2021,1.2892739,-77.4708667,"Cl. 5a # 6 - 58, Sandoná, Nariño, Colombia"
SUPERMERCADO JUSTO Y BUENO LA SEPTIMA RIOHACHA,LA GUAJIRA,155026,2019/11/28,ACTIVA,2021/02/12,2021,11.5345348,-72.90135160000001,"Cl. 6 # 6-94, Riohacha, La Guajira, Colombia"
SUPERMERCADO JUSTO Y BUENO BUENAVENTURA LAS AMERICAS,BUENAVENTURA,186581,2020/01/13,CANCELADA,2021/03/09,2021,,,
JUSTO Y BUENO ATLANTICO CAMPO DE LA CRUZ,BARRANQUILLA,776096,2020/12/01,ACTIVA,2021/03/31,2021,10.379864,-74.8823374,"Cl. 6 # 9 - 05, Campo de La Cruz, Atlántico, Colombia"
MINIMERCADO JUSTO Y BUENO PUERTO LOPEZ,VILLAVICENCIO,321115,2017/09/21,ACTIVA,2021/03/26,2021,4.0848811,-72.9597445,"Cl. 6 #11- 34/38, Puerto López, Meta, Colombia"
SUPERMERCADOS JUSTO Y BUENO BUENAVENTURA-CENTRO,BUENAVENTURA,189044,2020/11/20,ACTIVA,2021/03/09,2021,3.878063,-77.008313,"Cl. 6 #5544, Buenaventura, Valle del Cauca, Colombia"
SUPERMERCADOS JUSTO Y BUENO BUENAVENTURA-LAURELES,BUENAVENTURA,187458,2020/05/27,CANCELADA,2021/03/09,2021,3.878063,-77.008313,"Cl. 6 #5544, Buenaventura, Valle del Cauca, Colombia"
MINIMERCADO JUSTO Y BUENO TUNJA SURINAMA,TUNJA,154178,2017/11/07,CANCELADA,2018/11/26,2018,,,
SUPEMERCADO JUSTO Y BUENO TUNJA COOSERVICIOS,TUNJA,176402,2019/11/13,ACTIVA,2021/03/08,2021,5.518631099999999,-73.36269949999999,"Cl. 6 Sur # 5 - 39, Tunja, Boyacá, Colombia"
SUPERMERCADO JUSTO Y BUENO TUNJA AV NORTE,TUNJA,180060,2020/03/17,ACTIVA,2021/03/08,2021,5.518631099999999,-73.36269949999999,"Cl. 6 Sur # 5 - 39, Tunja, Boyacá, Colombia"
SUPERMERCADOS JUSTO Y BUENO POPAYAN-LA ARBOLEDA,CAUCA,201953,2020/06/30,CANCELADA,2021/02/17,2021,,,
MINIMERCADO JUSTO Y BUENO PERDOMO,BOGOTA,2674188,2016/04/08,ACTIVA,2021/03/19,2021,4.4847157,-73.8954502,"Cra. 2 #3 - 68, Fómeque, Cundinamarca, Colombia"
JUSTO Y BUENO SOLEDAD LA CENTRAL,BARRANQUILLA,761210,2020/06/11,CANCELADA,2021/03/31,2021,10.8867211,-74.8087647,"Tv 1B Sur #68B-121, Soledad, Barranquilla, Atlántico, Colombia"
MINIMERCADO JUSTO Y BUENO ISMAEL PERDOMO,BOGOTA,2737477,2016/09/27,ACTIVA,2021/03/19,2021,4.5886665,-74.1645367,"Cl. 63 Sur #71b-1 71b-99 a, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO MEDELLIN EL CHAGUALO,MEDELLIN PARA ANTIOQUIA,66866802,2018/10/12,ACTIVA,2021/03/31,2021,6.2637152,-75.5712882,"Cl. 65 #56 - 187, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
SUPERMERCADO JUSTO Y BUENO MEDELLIN SAN GERMAN,MEDELLIN PARA ANTIOQUIA,69363302,2019/11/08,ACTIVA,2021/03/31,2021,6.272725899999999,-75.59201569999999,"Cl. 65 #77 - 117, San German, Medellín, Robledo, Medellín, Antioquia, Colombia"
MINIMERCADO JUSTO Y BUENO AVENIDA CHILE,BOGOTA,2806584,2017/04/20,ACTIVA,2021/03/19,2021,4.6940624,-74.0564594,"Cra. 45 #106 - 15, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO ESTADIO,BUCARAMANGA,9000351439,2016/07/07,ACTIVA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO MARCO FIDEL,BOGOTA,3026288,2018/10/17,ACTIVA,2021/03/19,2021,4.7385507,-74.0649174,"Cra. 59 # 152 - 49 local 202, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO QUIROGA,BOGOTA,2676620,2016/04/15,ACTIVA,2021/03/19,2021,4.4847157,-73.8954502,"Cra. 2 #3 - 68, Fómeque, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO PARQUE LUIS CARLOS GALAN,BOGOTA,3105979,2019/04/30,ACTIVA,2021/03/19,2021,4.6940624,-74.0564594,"Cra. 45 #106 - 15, Bogotá, Colombia"
MINIMERCADO JUSTO Y BUENO LIBERTADOR 2,BOGOTA,2751020,2016/11/02,CANCELADA,2018/03/14,2018,,,
MINIMERCADO JUSTO Y BUENO BELENCITO,CUCUTA,348352,2019/04/17,ACTIVA,2021/03/31,2021,,,
MINIMERCADO JUSTO Y BUENO RIOHACHA,LA GUAJIRA,142074,2017/12/04,ACTIVA,2021/02/10,2021,11.5501347,-72.90725929999999,"Cl. 7 # 5 - 67, Riohacha, La Guajira, Colombia"
SUPERMERCADO JUSTO Y BUENO CALLE ANCHA,LA GUAJIRA,157324,2020/05/19,ACTIVA,2021/02/12,2021,,,
SUPERMERCADO JUSTO Y BUENO RIOHACHA LA UNION,LA GUAJIRA,160507,2020/12/07,ACTIVA,2021/02/12,2021,11.5460618,-72.9037302,"Cl. 15 # 23 - 69, Riohacha, La Guajira, Colombia"
SUPERMERCADO JUSTO Y BUENO LA REDOMA,CUCUTA,368622,2020/03/04,ACTIVA,2021/03/31,2021,,,
MINIMERCADO JUSTO Y BUENO GAITAN,BOGOTA,2855813,2017/08/16,ACTIVA,2021/03/19,2021,,,
MINIMERCADO JUSTO Y BUENO PUERTO GAITAN,VILLAVICENCIO,323471,2017/11/09,ACTIVA,2021/03/05,2021,4.3153922,-72.0796476,"Cl. 7 # 7 - 02, Puerto Gaitán, Meta, Colombia"
SUPERMERCADO JUSTO Y BUENO GAITAN IBAGUE,IBAGUE,293100,2018/06/25,ACTIVA,2021/03/25,2021,,,
SUPERMERCADO JUSTO Y BUENO PUERTO GAITAN MALECON,VILLAVICENCIO,374284,2020/07/24,ACTIVA,2021/03/09,2021,4.3153922,-72.0796476,"Cl. 7 # 7 - 02, Puerto Gaitán, Meta, Colombia"
MINIMERCADO JUSTO Y BUENO ASTREA,VALLEDUPAR,149406,2017/12/01,CANCELADA,2017/12/01,2017,9.500352699999999,-73.9737746,"Cl. 7 #1-04, Astrea, Cesar, Colombia"
MINIMERCADO JUSTO Y BUENO ASTREA,VALLEDUPAR,153487,2018/05/24,ACTIVA,2021/02/12,2021,9.500352699999999,-73.9737746,"Cl. 7 #1-04, Astrea, Cesar, Colombia"
MINIMERCADO JUSTO Y BUENO CALERA PUEBLO,BOGOTA,2806592,2017/04/20,ACTIVA,2021/03/19,2021,4.719332,-73.96726220000001,"Cl. 7 #1-37, La Calera, Cundinamarca, Colombia"
SUPERMERCADO JUSTO Y BUENO CALERA PATIOS,BOGOTA,2738056,2016/09/28,ACTIVA,2021/03/19,2021,4.661775,-74.01013,"Bogotá - La Calera #km 6.7, La Calera, Cundinamarca, Colombia"
MINIMERCADO JUSTO Y BUENO CHINCHINA CALDAS,CHINCHINA,23920,2018/09/27,ACTIVA,2021/03/26,2021,4.981256699999999,-75.60279120000001,"Cl. 7 #10-45, Chinchiná, Caldas, Colombia"
JUSTO Y BUENO SABANAGRANDE,BARRANQUILLA,739256,2019/07/12,ACTIVA,2021/03/31,2021,10.7843803,-74.7561118,"Cl. 7 #1a -26, Sabanagrande, Atlántico, Colombia"
MINIMERCADO JUSTO Y BUENO LA PEDREGOZA,BUCARAMANGA,9000378215,2017/06/21,ACTIVA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO CHOCONTA,BOGOTA,2759664,2016/12/06,ACTIVA,2021/03/19,2021,5.1458347,-73.6841563,"Cl. 7 #4-54, Chocontá, Cundinamarca, Colombia"
MINIMERCADO JUSTO Y BUENO QUANTUM,BUCARAMANGA,9000385867,2017/09/19,ACTIVA,2021/03/17,2021,,,
MINIMERCADO JUSTO Y BUENO FILANDIA,ARMENIA,229079,2018/10/04,CANCELADA,2019/03/26,2019,,,
